Program,Version
delete.png,4.0.2023.223
flexiplot,4.0.2023.1215
flexiplot.py,4.0.2023.1215
getera5,4.0.2023.1213
getera5.py,4.0.2023.1213
getfiles.ini,4.0.2023.528
getmap,4.0.2023.526
getmerra2,4.0.2023.213
help.html,4.0.2024.425
indexweather,4.0.2023.213
makegrid,4.0.2023.313
makeweatherfiles,4.0.2023.524
plot_tml.png,4.0.2023.728
pmtmldetail,4.0.2023.1203
pmtmldetail.py,4.0.2023.1203
powermap,4.0.2024.209
powermap.py,4.0.2024.209
powermatch,4.0.2024.423
powermatch.zip,4.0.2024.423
powerplot,4.0.2024.0425
powerplot.zip,4.0.2024.0425
scada_vs_sam_era5_2023_detailed.png,4.0.2024.210
sen24x24.png,4.0.2023.121
sen_icon32.ico,4.0.2023.116
sen_icon32.png,4.0.2023.116
sen_logo_2.png,4.0.2023.116
siren,4.0.2024.209
sirenupd,4.0.2023.1204
sirenupd.py,4.0.2023.1204
updateswis,4.0.2023.1128
